mof_id,pore_dimension,PLD,LCD,SSA,porosity,density,capa_mass,capa_volume,095_current
imof-251,1,21.55135,21.85392,1321.1,0.4024,0.733580106,87.32550794,64.06025534,0.967466723
imof-252,1,18.58445,19.02417,876.212,0.31298,1.008562989,57.13169424,57.6209123,0.865052286
imof-253,1,23.18366,23.29451,2282.03,0.47164,0.486192874,161.8684935,78.69930803,2.11157801
imof-254,1,4.42413,4.87178,514.608,0.0137,1.074452947,34.20794882,36.75483144,0.022500502
imof-255,3,5.03897,6.65431,1063.03,0.05108,0.937380773,55.82791712,52.33201612,0.061281041
imof-256,3,14.07879,20.47751,4604.35,0.5594,0.374968131,186.2034711,69.82036752,2.385491967
imof-257,1,10.43763,11.56464,1290.13,0.27192,1.151541311,98.42681851,113.3425477,0.33190893
imof-258,1,5.7978,6.13121,1034.63,0.05676,1.085500499,94.5160272,102.5971947,0.122909611
imof-259,1,20.413,20.72819,1610.59,0.40192,0.658112594,108.8614548,71.64309432,0.78872386
imof-260,1,23.59548,23.70346,1741.1,0.4621,0.591197489,116.6853481,68.9840848,1.672694914
imof-261,1,6.38748,7.02912,895.214,0.07882,1.14278233,49.19709532,56.2215712,0.02134645
imof-262,1,7.04545,8.2898,564.016,0.07662,1.536652688,35.39547908,54.39055808,0.047717
imof-263,1,10.34078,10.57564,719.475,0.13412,1.335304251,64.65518652,86.3343454,0.343027281
imof-264,3,13.76887,19.92595,4625.31,0.55562,0.350299068,207.0427978,72.52689913,2.165335423
imof-265,3,14.24237,16.33862,5821.28,0.51362,0.353726697,199.1660408,70.45034571,2.604682108
imof-266,1,5.71611,6.31987,706.629,0.05152,1.247079346,33.97334721,42.36745961,0.028231954
imof-267,1,9.61143,10.05292,2287.34,0.24854,0.713572471,185.6753863,132.4928442,0.27799058
imof-268,3,5.08491,9.35835,1213.69,0.10786,0.966744326,28.43532453,27.48968865,0.099162643
imof-269,1,30.58336,30.917,2584.2,0.57352,0.37484516,177.8722653,66.6745577,2.094904701
imof-270,2,4.47637,6.05512,765.839,0.04004,1.180017766,26.13193956,30.83615294,0.016107435
imof-271,1,6.81294,9.54038,981.088,0.1189,1.048112196,70.59120835,73.98750638,0.062380213
imof-272,3,9.5199,21.04913,4607.84,0.50296,0.438062925,181.6855119,79.58968677,0.556535438
